site,time,unit,value
Milford Haven Grid,2025-11-12T13:55:00+00:00,MW,-0.2770000000000046
Milford Haven Grid,2025-11-12T14:00:00+00:00,MW,-0.19800000000000395
Milford Haven Grid,2025-11-12T14:05:00+00:00,MW,-0.2770000000000046
Milford Haven Grid,2025-11-12T14:10:00+00:00,MW,-0.45100000000000406
Milford Haven Grid,2025-11-12T14:15:00+00:00,MW,-0.41300000000000026
Milford Haven Grid,2025-11-12T14:20:00+00:00,MW,-0.34599999999999653
Milford Haven Grid,2025-11-12T14:25:00+00:00,MW,-0.3719999999999999
Milford Haven Grid,2025-11-12T14:30:00+00:00,MW,-0.39300000000000423
Milford Haven Grid,2025-11-12T14:35:00+00:00,MW,-0.3470000000000013
Milford Haven Grid,2025-11-12T14:40:00+00:00,MW,-0.3559999999999981
Milford Haven Grid,2025-11-12T14:45:00+00:00,MW,-0.34399999999999764
Milford Haven Grid,2025-11-12T14:50:00+00:00,MW,-0.40899999999999537
Milford Haven Grid,2025-11-12T14:55:00+00:00,MW,-0.4089999999999989
Milford Haven Grid,2025-11-12T15:00:00+00:00,MW,-0.4770000000000003
Milford Haven Grid,2025-11-12T15:05:00+00:00,MW,-0.5619999999999941
Milford Haven Grid,2025-11-12T15:10:00+00:00,MW,-0.5430000000000028
Milford Haven Grid,2025-11-12T15:15:00+00:00,MW,-0.6280000000000001
Milford Haven Grid,2025-11-12T15:20:00+00:00,MW,-0.6209999999999987
Milford Haven Grid,2025-11-12T15:25:00+00:00,MW,-0.7199999999999989
Milford Haven Grid,2025-11-12T15:30:00+00:00,MW,-0.7180000000000035
Milford Haven Grid,2025-11-12T15:35:00+00:00,MW,-0.6679999999999993
Milford Haven Grid,2025-11-12T15:40:00+00:00,MW,-0.777000000000001
Milford Haven Grid,2025-11-12T15:45:00+00:00,MW,-0.7059999999999924
Milford Haven Grid,2025-11-12T15:50:00+00:00,MW,-0.8030000000000008
Milford Haven Grid,2025-11-12T15:55:00+00:00,MW,-0.8210000000000015
Milford Haven Grid,2025-11-12T16:00:00+00:00,MW,-0.722999999999999
Milford Haven Grid,2025-11-12T16:05:00+00:00,MW,-0.8879999999999981
Milford Haven Grid,2025-11-12T16:10:00+00:00,MW,-0.7899999999999991
Milford Haven Grid,2025-11-12T16:15:00+00:00,MW,-0.8669999999999973
Milford Haven Grid,2025-11-12T16:20:00+00:00,MW,-0.8849999999999945
Milford Haven Grid,2025-11-12T16:25:00+00:00,MW,-0.9499999999999993
Milford Haven Grid,2025-11-12T16:30:00+00:00,MW,-0.7740000000000009
